year,state,entry_count,avg_return_6,quality_hit_rate_6
2020,range,42,0.007147436990977067,0.7619047619047619
2020,trend_down,15,0.0024485344671337783,0.4666666666666667
2020,trend_up,27,0.0085310491030357,0.5925925925925926
2021,range,39,-0.005247230000236986,0.4358974358974359
2021,trend_down,23,-0.000893127030790692,0.4782608695652174
2021,trend_up,15,0.030807401917453327,0.5333333333333333
2022,range,51,-0.005356342597277503,0.7450980392156863
2022,trend_down,33,-0.006234551009950942,0.6060606060606061
2022,trend_up,18,-0.0015012618150986683,0.5555555555555556
2023,range,36,0.0066860273380045425,0.9166666666666666
2023,trend_down,17,0.004506365152352247,0.35294117647058826
2023,trend_up,19,0.00328227005997023,0.5789473684210527
2024,range,51,-0.002424393843503659,0.803921568627451
2024,trend_down,21,-0.0013446202143689804,0.5714285714285714
2024,trend_up,30,0.0024015759604059514,0.5
2025,range,52,0.001010735571714101,0.8076923076923077
2025,trend_down,31,-0.0005680713144630539,0.5483870967741935
2025,trend_up,21,0.002063038646384077,0.5238095238095238
2026,range,30,-0.001564510278023697,0.9
2026,trend_down,18,0.00514189503066858,0.2777777777777778
2026,trend_up,12,0.007091170698811868,0.5
