v71_direction_context,side,trade_count,win_rate,total_pnl,avg_pnl
long_blocked_untradable,long,1,1.0,10.152245547442362,10.152245547442362
long_continuation,long,113,0.4778761061946903,3446.4174858381884,30.499269786178658
long_probe,long,44,0.3409090909090909,-868.6936821561776,-19.74303823082222
neutral_wait,long,1,0.0,-19.15702664650053,-19.15702664650053
neutral_wait,short,1,1.0,1.3502935204069215,1.3502935204069215
range_rebound,long,1,1.0,0.2734868491188535,0.2734868491188535
short_blocked_daily_bias,long,1,1.0,0.6103007712117687,0.6103007712117687
short_blocked_daily_bias,short,1,0.0,-0.87824890920092,-0.87824890920092
short_probe,short,26,0.2692307692307692,-326.44513273876146,-12.555582028413902
short_release,long,1,0.0,-0.6040011745244556,-0.6040011745244556
short_release,short,91,0.3956043956043956,57.65421554334717,0.6335628081686502
