v71_direction_context,side,trade_count,win_rate,total_pnl,avg_pnl
long_blocked_daily_bias,long,18,0.4444444444444444,15.116208711682702,0.8397893728712612
long_blocked_untradable,long,1,1.0,1.355558582028607,1.355558582028607
long_continuation,long,111,0.44144144144144143,1730.9313038010675,15.593975709919528
long_probe,long,44,0.38636363636363635,-395.47448576431634,-8.988056494643553
neutral_wait,short,1,1.0,7.511177333306477,7.511177333306477
range_rebound,long,1,1.0,0.6899805262837617,0.6899805262837617
range_wait,long,1,0.0,-55.23394784458287,-55.23394784458287
range_wait,short,2,1.0,10.505132562429935,5.252566281214968
short_blocked_daily_bias,short,1,0.0,-0.87824890920092,-0.87824890920092
short_probe,long,1,1.0,0.3734885208432388,0.3734885208432388
short_probe,short,52,0.40384615384615385,266.03643421587003,5.116085273382116
short_release,long,1,0.0,-1.208028116283458,-1.208028116283458
short_release,short,67,0.40298507462686567,729.9672823007677,10.895034064190563
